Price Date,Adike Price (Rs./Quintal),Patora Price (Rs./Quintal)
2015-09-01,27000,16000
2015-09-02,27000,16000
2015-09-03,27000,16000
2015-09-04,27000,16000
2015-09-07,27000,16000
2015-09-08,27000,16000
2015-09-09,27000,16000
2015-09-10,26500,16000
2015-09-11,26300,15000
2015-09-14,26300,14000
2015-09-15,26300,14000
2015-09-16,26000,14000
2015-09-19,26700,14000
2015-09-21,27200,14000
2015-09-23,27500,14000
2015-09-24,27200,14000
2015-09-26,27500,15000
2015-09-28,27500,15000
2015-09-29,27500,15000
2015-09-30,27200,15000
2015-10-03,26800,15000
2015-10-05,27200,13000
2015-10-06,26700,14500
2015-10-07,26700,14500
2015-10-08,27000,14500
2015-10-09,27200,15000
2015-10-13,27200,16000
2015-10-14,27200,16000
2015-10-15,27200,16000
2015-10-16,27200,15000
2015-10-17,27200,15000
2015-10-19,27200,15000
2015-10-20,27200,15000
2015-10-21,27200,15000
2015-10-26,27800,15000
2015-10-31,28000,16500
2015-11-02,27700,15500
2015-11-03,27800,15500
2015-11-05,27800,15500
2015-11-07,27800,16500
2015-11-13,28200,16500
2015-11-17,24000,16000
2015-11-18,24000,16000
2015-11-19,24000,16000
2015-11-20,24000,16000
2015-11-21,24000,16000
2015-11-23,24000,16000
2015-11-25,24000,16700
2015-11-26,23000,16700
2015-11-27,23000,16700
2015-11-30,23500,16700
2015-12-01,23500,16500
2015-12-02,23500,16500
2015-12-03,23500,16500
2015-12-04,23500,16500
2015-12-05,23500,16500
2015-12-07,23500,17000
2015-12-08,23500,16500
2015-12-09,23000,16000
2015-12-10,23000,16000
2015-12-11,23500,16500
2015-12-14,23500,16000
2015-12-15,23500,16500
2015-12-16,23500,16500
2015-12-18,23500,17000
2015-12-21,23500,17000
2015-12-22,23500,17000
2015-12-23,23500,17000
2015-12-26,23500,17000
2015-12-28,23500,16500
2015-12-29,23500,16500
2015-12-30,23500,16500
2015-12-31,23500,16000
2016-01-01,23500,16000
2016-01-02,23000,16000
2016-01-04,23000,16000
2016-01-05,24000,17000
2016-01-06,24000,17000
2016-01-08,24000,17000
2016-01-12,24500,17000
2016-01-13,24800,18000
2016-01-14,24800,18000
2016-01-16,24800,18000
2016-01-18,24800,18000
2016-01-19,24800,18000
